Title,Paragraph,Source,Truth
Health,"Comedian Munawar Faruqui recently revealed his financial struggles while treating his son Mikael, diagnosed with Kawasaki disease. This rare condition causes inflammation in heart arteries.",India_Today,1.0
Health,"While sugary drinks increase heart health risks, indulging in occasional sugary snacks may be beneficial, according to a new study. ",India_Today,1.0
Health,"The WHO has dispatched a health team to Congo following the deaths of over 31 individuals, mostly children, due to a mysterious illness with flu-like symptoms, referred to by some experts as 'Disease X'.",India_Today,1.0
Health,"Chest pain, often mistaken for a heart attack, can also be a sign of a less severe condition, if properly managed. It is caused by reduced blood flow to the heart.",India_Today,1.0
Health,"Headaches are a common ailment affecting 40% of the global population, more prevalent in women, with varying causes and durations.",India_Today,1.0
Health,"Key health indicators such as inflammation and metabolism were assessed, while researchers accounted for lifestyle factors like smoking and alcohol consumption to isolate coffee's effects. ",India_Today,1.0
Health,"The urge to smoke after a meal is a complex interplay of biological, psychological, and social factors, often providing temporary satisfaction but with severe long-term health consequences.",India_Today,1.0
SCIENCE,"Australia passed a law that effectively bans social media usage for children under the age of 16, making it the first country to implement such regulations. The move came in reaction to growing worries about the impact of social media on the mental health and well-being of young people.",India_Today,1.0
Health,Oxford University Press has declared 'brain rot' as the Word of The Year for 2024. Psychologist shares concerns about our mental decline linked to excessive consumption of trivial content on social media.,India_Today,1.0
Health,"A Harvard study suggests that consuming five or more servings of dark chocolate weekly may reduce the risk of type 2 diabetes by 21%, thanks to flavanols that boost metabolic health. However, experts caution that milk chocolate showed no such benefits and may contribute to weight gain.",India_Today,1.0
Health,AgeXtend is a unique platform that uses data from existing anti-ageing molecules to predict new ones. It also ensures their safety by checking for toxic effects. ,India_Today,1.0
Health,Aster DM and Quality Care India's new merger has become one of the country's top three hospital chains. Aster's Alisha Moopen talks about expanding healthcare access to people in Tier 2 and Tier 3 cities.,India_Today,1.0
Download App,A Lancet study highlights that long-term exposure to PM2.5 particles is responsible for millions of deaths in India.,India_Today,1.0
Environment,"November 2024 alone was noted as the second-hottest November on record, with temperatures around 1.62°C above pre-industrial levels. ",India_Today,1.0
Health,"US diplomacy with island states on the front line of sea level rise could be complicated by Trump's threats to withdraw from the Paris Agreement climate pact, however.",India_Today,1.0
Environment,"As climate change intensifies the frequency and severity of storms, effective coastal defenses are becoming increasingly vital. ",India_Today,1.0
Environment,"Data from January to November has confirmed 2024 is now certain to be the hottest year on record, and the first in which average global temperatures exceed 1.5 degrees Celsius. ",India_Today,1.0
Environment,"This milestone makes her the oldest known wild bird in the world, a title she has held since being tagged in 1956 when she was at least five years old.",India_Today,1.0
Environment,"Rising temperatures, pest outbreaks, and plant diseases further threaten crop yields. Even when plants survive, climate change often reduces their nutritional value.",India_Today,1.0
SCIENCE,The research indicates that the Arctic sea ice is diminishing at an unprecedented rate of over 12% per decade due to rising greenhouse gas emissions. ,India_Today,1.0
Environment,"The 2024 edition builds upon the foundation, expanding its focus on resource security, carbon reduction, and energy efficiency.",India_Today,1.0
SCIENCE,"Like the United States, China has been expanding its presence in Antarctica and in the Arctic to explore polar resources.",India_Today,1.0
Environment,"India recorded its warmest November since 1901, according to data from the India Meteorological Department (IMD).",India_Today,1.0
Environment,Extra personnel will be deployed by the SP's office to assess weather forecasts from the Meteorological Department in Shimla before granting any permissions for trekking.,India_Today,1.0
Environment,"The green belt is a crucial component of the Three-North Shelterbelt Forest Program (TSFP), which was launched in 1978 and is scheduled for completion in 2050. ",India_Today,1.0
Environment,"These heat waves have led to tens of thousands of deaths, crop failures, and devastating wildfires.",India_Today,1.0
Environment,The study reveals that even relatively small temperature increases can significantly impact crop yields.,India_Today,1.0
Environment,"Expectations for a deal were depressed by worries of a looming US withdrawal from global climate cooperation, geopolitical turmoil, and a rise of isolationist politics that had shunted climate change.",India_Today,1.0
SCIENCE,"The Sombrero galaxy, located approximately 30 million light-years away in the constellation Virgo, also hosts about 2,000 globular clusters.",India_Today,1.0
Environment,"The agreement, intended to aid poorer countries in coping with climate-related challenges, was criticised for lacking the necessary scope and urgency.",India_Today,1.0
Environment,"This decision, taken during extra time at the COP29 conference, is a major step forward in a thorny debate that has dragged through climate talks for years.",India_Today,1.0
Environment,"A UN report, released at the COP29 Climate Conference, has cautioned that the climate crisis could destabilise HIV services and increase ",India_Today,1.0
What is Mirror Manifestation? What's the right way to do it?,Theme,Times_Now,1.0
What is manifestation and how does it help to achieve your goals?,Latest News,Times_Now,1.0
?, ,Times_Now,1.0
?,Entertainment,Times_Now,1.0
Latest News,Bollywood,Times_Now,1.0
"Aaliyah Kashyap Turns Golden Mermaid At Reception, Hubby Shane Gregoire Looks Dapper In Black. WATCH",Box Office,Times_Now,1.0
"Blown Away By ‘UI’ Trailer, Bollywood Star Aamir Khan Calls Himself A Big Fan Of Real Star Upendra", ,Times_Now,1.0
"Suicide Has Been My Mindset: Once Banned For Life, Ex-New Zealand Star Claims Was Dragged Into Fixing In India",Reviews,Times_Now,1.0
Sobhita Dhulipala Blushes As Paps Congratulate Her And Husband Naga Chaitanya At Aaliyah-Shane's Wedding Reception, ,Times_Now,1.0
New Jersey Drone Spottings: New Iran And China Link Emerges Amid Investigation,TV,Times_Now,1.0
Champions Trophy To Be Conducted In T20 Format? Shocking Details Emerge Amid Indo-Pak Standoff, ,Times_Now,1.0
Manoj Bajpayee Opens Up About Playing Crime Journalist In Despatch – Risking One’s Life For Truth…- EXCL,Web Series,Times_Now,1.0
McDonald's Worker Who Spotted Luigi Mangione May Not Get The $60K Reward | Here's Why, ,Times_Now,1.0
"Aaliyah Kashyap Turns Golden Mermaid At Reception, Hubby Shane Gregoire Looks Dapper In Black. WATCH",Hollywood,Times_Now,1.0
"Suicide Has Been My Mindset: Once Banned For Life, Ex-New Zealand Star Claims Was Dragged Into Fixing In India",Korean,Times_Now,1.0
New Jersey Drone Spottings: New Iran And China Link Emerges Amid Investigation,Telugu,Times_Now,1.0
Manoj Bajpayee Opens Up About Playing Crime Journalist In Despatch – Risking One’s Life For Truth…- EXCL,Tamil,Times_Now,1.0
"Aaliyah Kashyap Turns Golden Mermaid At Reception, Hubby Shane Gregoire Looks Dapper In Black. WATCH",Kannada,Times_Now,1.0
"Suicide Has Been My Mindset: Once Banned For Life, Ex-New Zealand Star Claims Was Dragged Into Fixing In India",Malayalam,Times_Now,1.0
 ,Movies,Times_Now,1.0
"When is Hanuman Vratham 2024? Date, Time, Significance, and Rituals", ,Times_Now,1.0
Mokshada Ekadashi 2024: Parana Timing and Rituals,India,Times_Now,1.0
"Kharmas 2024: Date, Significance, Things To Avoid During This Inauspicious Time", ,Times_Now,1.0
8 Signs Of Superconsciousness,Cities,Times_Now,1.0
Saphala Ekadashi: When is the Last Ekadashi Fast of 2024? Know the Puja Timings And Vrat Parana Details, ,Times_Now,1.0
Download App,"The CE20 engine powers the upper stage of ISRO's LVM3 launch vehicle, which has played a pivotal role in missions like Chandrayaan-2, Chandrayaan-3, and the upcoming Gaganyaan human spaceflight project. ",India_Today,1.0
SCIENCE,"The species name camanchaca, which translates to ""darkness"", has been taken from indigenous languages in nearby western South America. ",India_Today,1.0
Gaganyaan Mission,"The human brain possesses an extraordinary ability to store and recall memories across a lifetime. Scientists are finally opening up this black box of the human brain, the part that stores memories. ",India_Today,1.0
SCIENCE,Firefly Sparkle is still in the process of assembling and has a mass equivalent to about 10 million solar masses. ,India_Today,1.0
SCIENCE,Engineers have detailed the helicopter's remarkable journey as the first aircraft to achieve powered flight on Mars and what happened on the fateful flight 72. ,India_Today,1.0
SCIENCE,"The Indian space agency chief delivered a presentation on ""Space Exploration in Amrit Kaal,"" highlighting India's ambitious strides in space exploration at the 90th Annual General Meeting of the Indian National Science Academy (INSA). ",India_Today,1.0
SCIENCE,"FU Ori has intrigued astronomers since its brightness surged by a factor of 100 in 1936, marking it as one of the brightest young stars observed. ",India_Today,1.0
SCIENCE,"The iBooster system, designed for 100–500 kg satellites, will be used for critical satellite operations such as orbit raising, station-keeping, and deorbiting. ",India_Today,1.0
SCIENCE,"The most concerning of tonight's visitors, 2007 XB23, will pass just 0.00298 AU—less than 4,50,000 kilometers from Earth.",India_Today,1.0
SCIENCE,"November 2024 alone was noted as the second-hottest November on record, with temperatures around 1.62°C above pre-industrial levels. ",India_Today,1.0
SCIENCE,The study found that the evolution of jaw shape in lepidosaurs is shaped by a complex interplay of factors beyond mere ecological influences. ,India_Today,1.0
Environment,"During the April 8, 2024, total solar eclipse, scientists observed the ionosphere — a charged layer in Earth's upper atmosphere — rising in altitude during the eclipse.",India_Today,1.0
SCIENCE,"As of now, SpaceX has completed 128 launches, including multiple successful deployments of its Starlink satellite constellation, which is crucial for global internet coverage.",India_Today,1.0
SCIENCE,"Williams, Wilmore, and cosmonaut Aleksandr Gorbunov trained for a departure training session inside the Dragon crew spacecraft.",India_Today,1.0
SCIENCE,The moderate tilts and slightly elongated paths of these planets — long considered a mystery — could be the result of a one-time cosmic flyby. ,India_Today,1.0
SCIENCE,"The planet is experiencing significant atmospheric loss — about 2,00,000 tons per second — primarily composed of light gases such as hydrogen and helium. ",India_Today,1.0
SCIENCE,"Using the Visible Emission Line Coronagraph (VELC) onboard the spacecraft, researchers observed a CME event on July 16, 2024, accompanied by a powerful solar flare.",India_Today,1.0
SCIENCE,"The Moon will appear nestled between these two gas giants, creating a beautiful triangle that is sure to captivate viewers.",India_Today,1.0
SCIENCE,"US diplomacy with island states on the front line of sea level rise could be complicated by Trump's threats to withdraw from the Paris Agreement climate pact, however.",India_Today,1.0
SCIENCE,"While it remains the strongest earthquake recorded in Japan's history and the third-largest globally since 1900, we still don't know what really caused it. ",India_Today,1.0
Download App,"In his Instagram post, Pantha Deb shared a video with the caption: ""24 hours begging challenge"".",India_Today,1.0
Trending News,"A wedding invitation featuring ""Sharma Ji ki Ladki"" and ""Gopal Ji ka Ladka"" has taken social media by storm for its humorous and offbeat take on Indian wedding traditions.",India_Today,1.0
Trending News,A video of a bride and groom entering their wedding venue on a movable steel machine gun inspired by Ranbir Kapoor's 2023 film Animal has gone viral on social media. ,India_Today,1.0
Trending News,"Chef Vikas Khanna has written an emotional note in a social media post after The New York Times named his restaurant Bungalow in the list of ""New York's 14 Best New Restaurants of 2024"". ",India_Today,1.0
Trending News,"2024 was Instagram's year of creativity, where Indian trends went global and global culture embraced all things desi.",India_Today,1.0
Trending News,"A new Instagram account, Registani Ladkiyan, featuring two little sisters, has taken social media by storm. The reason? Their profound life lessons are conveyed in the simplest way.
",India_Today,1.0
Trending News,A video of a woman's soulful rendition of 'Aise Kyun' from the Netflix hit series 'Mismatched' has gone viral. The mesmerising video prompted actor Prajakta Koli to react.,India_Today,1.0
Trending News,"Using just a selfie stick, a wig, and a variety of clever props, Jinushi created incredibly realistic images that delighted social media users worldwide. ",India_Today,1.0
Trending News,Two tourists died after a massive tree collapsed on them in Bali's Monkey Forest. A chilling video of the incident has gone viral on social media.,India_Today,1.0
Trending News,"An American Airlines pilot revealed the meaning behind those 'ding' sounds on flights, and it's not what you think it is.",India_Today,1.0
Trending News,"The dramatic footage shows a tourist diving on the island of Hulhumale, in the south of North Male Atoll, when the large tiger shark suddenly lunges at him.",India_Today,1.0
Trending News,"The idea behind Yashraj Mukhate's song stemmed from one of Keerthy Suresh's interviews during which she was asked about her food choices. To most of the questions, Keerthy's response was the same: Dosa. ",India_Today,1.0
Trending News,"Overall, the Indian Premier League (IPL) claimed the top spot, showcasing the country's enduring passion for cricket. It was followed by the T20 World Cup, Bharatiya Janata Party (BJP), Election Results 2024, and the Olympics 2024.",India_Today,1.0
Trending News,An Indian-origin entrepreneur's post on X sparked debate when she urged millennials to choose parenthood over travel for self-discovery.,India_Today,1.0
Trending News,"The forest department's advanced AI cameras, installed along the railway tracks, detected the elephants approaching the line and immediately sent alerts to the control room.",India_Today,1.0
Trending News,"Elon Musk's old emails rejecting remote work as ""unacceptable"" have surfaced on social media. The now-viral emails have triggered a fresh discussion about workplace flexibility online. ",India_Today,1.0
Trending News,Celebrity chef Vikas Khanna's New York restaurant Bungalow has won the Michelin 2024 Bib Gourmand award. ,India_Today,1.0
Trending News,A group of tourists set out on a thrilling safari in the Manyoni Private Game Reserve in South Africa but were terrified after an angry hippo chased their vehicle. ,India_Today,1.0
Trending News,"In a post on X, YouTuber MrBeast has shared pictures of an extravagant $14 million ""city"" created for his upcoming reality show, Beast Games.",India_Today,1.0
Trending News,"In a statement issued on social media, YesMadam said that the viral email was a 'planned effort' and denied firing any employees following severe backlash. ",India_Today,1.0
Download App,"Available in five variants, this SUV is priced between Rs 7.51 lakh and Rs 13.03 lakh (ex-showroom), and offers both naturally aspirated and turbo petrol engine options.",India_Today,1.0
Auto,This new sub-4 metre compact SUV is priced between Rs 7.89 lakh and Rs 14.40 lakh (ex-showroom).,India_Today,1.0
Car News,"The Hyundai Exter has been driven more than 10,000km while being a part of the Auto Today long-term fleet and in this report, we mention how the sub-compact SUV stacks up on a highway trip. ",India_Today,1.0
Car News,"This premium MPV is offered in a single, fully-loaded trim, boasting one of the most comfortable second row of seats in a passenger vehicle in the country.",India_Today,1.0
long term review,The Honda Amaze and the Maruti Suzuki Dzire are direct rivals in the compact sedan segment. This space has the Hyundai Aura and the Tata Tigor as well.,India_Today,1.0
Car News,The Tata Nexon has joined the Auto Today long term fleet for six months and we will tell you how the subcompact SUV is to live with on a daily.,India_Today,1.0
Car News,"The Switch EiV12 is for the Indian market, while the Switch E1 will cater to the European market.",India_Today,1.0
long term review,The Toyota Camry initially entered the Indian market in 2002.,India_Today,1.0
Latest Auto News,"This is a global model, manufactured in several countries. It is even exported from India.",India_Today,1.0
NEW LAUNCH,Bharat Mobility Global Expo 2025 will be held from January 17 to January 22.,India_Today,1.0
Car News,The Group provides technical training to disabled people at its factories before absorbing them into different departments.,India_Today,1.0
Car News,"Bajaj has sold more than 3,00,000 units of the Chetak electric scooter since its launch in India in January 2020.",India_Today,1.0
Latest Auto News,The Syros will sit between the Sonet and the Seltos in Kia's SUV line-up.,India_Today,1.0
Bikes,Automakers are planning to increase the prices of their cars from January 2025.,India_Today,1.0
Car News,Kia India has cumulatively sold (domestic + export) nearly 1.6 million units till now.,India_Today,1.0
Car News,Tata will increase the prices of its cars by up to 3% to partially offset the impact of rising input costs and inflation.,India_Today,1.0
Car News,"This affordable, 5-star safety-rated Indian SUV is available in both ICE and EV versions.",India_Today,1.0
Car News,The mid-variant of the updated 2025 Ronin now gets a major upgrade with the addition of dual-channel ABS. ,India_Today,1.0
Car News,"On the discussion of a team building exercise, regular sports were quickly dismissed, and we also didn't want to get ourselves muddy off-roading, so the best possible alternative actually became the most fun that the Auto Today team has had in months.

",India_Today,1.0
Bikes,"Mahindra revealed its electric origin SUVs, the BE 6e and the XEV 9e, on November 26.",India_Today,1.0
Download App,"The Karnataka High Court on Thursday quashed an FIR against BJP MP Tejasvi Surya for spreading 'fake news' about a farmer's suicide in Haveri. Surya had shared on X that the farmer's death was linked to a Waqf land issue, but police clarified the suicide was due to debt and crop loss. ",India_Today,1.0
Law News,"The court was hearing a petition filed by AIMIM leader Faiyaz Shaikh, whose request for a rally in Baramati had been denied by the Pune district police.",India_Today,1.0
Law News,"The Supreme Court on Thursday said that no further such suits can be registered till it hears and disposes off the petitions challenging the Places of Worship (Special Provisions) Act, 1991. ",India_Today,1.0
Law News,"The Kerala High Court criticised the 'VIP darshan' provided for Malayalam actor Dileep at the Sabarimala shrine, calling it ""very very serious"".  Concerned over the incident disrupting devotees' access, the court directed authorities to prevent such practices in the future.",India_Today,1.0
Law News,"The intervention application, filed by advocate Satish Maneshinde, seeks ""summary dismissal"" of Raut's plea as there is absence of material facts and particulars. ",India_Today,1.0
Kerala News,Telangana High Court during a hearing criticised officials for allowing illegal constructions in lake buffer zones and FTL areas and then later demolishing them. The court warned of criminal cases and property confiscation for errant officials.,India_Today,1.0
Law News,The Kerala High Court granted anticipatory bail to veteran actor Balachandra Menon in a 2007 case of outraging a female actor's modesty. The court noted the 17-year delay in the complaint and emphasised that men also have 'pride and dignity'.,India_Today,1.0
Law News,"The Supreme Court advised all other courts to follow the guidelines, but said the factors do not lay down a 'straitjacket formula' while deciding the permanent alimony.",India_Today,1.0
Law News,A judge will not be removed from his office except by the President's order after an address by both Houses of Parliament supported by a majority of the total membership of the Houses.,India_Today,1.0
Law News,"The Bombay High Court was informed that actor Kamaal R Khan had deposited his licensed gun, which he was supposed to do during the Lok Sabha election period, and that police had moved to cancel a lookout circular issued against him.",India_Today,1.0
Law News,Shiv Sena (UBT) leader Suraj Chavan claimed that he was not informed of the grounds for his arrest in the khichdi scam and was never told what reasons the ED had to believe that he had committed any offence.,India_Today,1.0
Law News,Actor Allu Arjun has approached the Telangana High Court to cancel an FIR filed against him following the death of a woman during the premiere of Pushpa 2 in Hyderabad on December 4. The woman died due to asphyxiation in a crowd at a theatre.,India_Today,1.0
Law News,The couple has been living separately for over two decades. The husband has now been asked to pay wife Rs 5 crore as permanent alimony.,India_Today,1.0
Law News,"The Supreme Court has cautioned against the misuse of dowry harassment laws, emphasising that vague allegations without specific evidence cannot justify criminal prosecution. It quashed a Telangana High Court order refusing to dismiss a dowry harassment case. ",India_Today,1.0
Law News,"Senior advocate Vrinda Grover has withdrawn from representing the family of the victim in the RG Kar rape and murder case, ending her pro bono legal assistance across multiple courts after significant progress in the trial.",India_Today,1.0
Law News,The Supreme Court questioned the Guruvayur Sri Krishna Temple's decision to skip the Udayasthamana Pooja on Ekadasi for crowd management. The court issued a notice to the temple administration and directed the daily pooja schedule to remain unchanged.,India_Today,1.0
India News,"The Bombay High Court has reserved its order on Shiv Sena (UBT) candidate Amol Kirtikar's petition challenging Ravindra Waikar's victory in Mumbai North-West by 48 votes, citing uncounted tendered votes as the key issue.",India_Today,1.0
Law News,"The Supreme Court directed the Tamil Nadu government to file an affidavit on its plans for appointing 'Arangavalar Committees' for all Hindu temples in the state. This followed the state's report that only 7,500 out of 31,000 temples had trustee committees due to a low response.",India_Today,1.0
Law News,"Taking serious exception of Punjab Police's ""high handedness"", the Punjab and Haryana High Court directed departmental action against a cop for arresting a man after he failed to make way to a police vehicle on a narrow road. ",India_Today,1.0
Law News,The Bombay High Court expressed scepticism towards a young interfaith couple seeking court intervention to allow them to live together. The court questioned the practicality of providing police protection to facilitate their live-in relationship.,India_Today,1.0
Download App,"The incident occurred on the intervening night of Wednesday and Thursday when the victim, Ravi Yadav, was warming his hands by a bonfire near his home in the Trilokpuri area, police said.",India_Today,1.0
Cities,"The CCTV footage that went viral on social media starts by showing passengers panicking after the Brihanmumbai Electric Supply and Transport (BEST) electric bus veered off course, striking pedestrians and vehicles in a crowded area.",India_Today,1.0
Delhi News,"Amid heavy rain forecast in Tamil Nadu coastal districts, schools in Chennai and 10 other districts have been closed today. A heavy rainfall warning has been issued for Tamil Nadu due to a ""well-marked low-pressure area"" over the Bay of Bengal.",India_Today,1.0
Mumbai News,"A car, being driven from the wrong end of a road in Jaipur, crashed into a vehicle that was a part of Rajasthan Chief Minister Bhajanlal Sharma's convoy, killing an assistant sub-inspector (ASI).",India_Today,1.0
